matricula;matematicas
0;41
0;53
0;54
0;47
0;57
0;51
0;42
0;45
0;54
0;52
0;51
1;51
0;71
1;57
0;50
0;43
0;51
0;60
1;62
0;57
0;35
1;75
0;45
0;57
0;45
0;46
1;66
0;57
0;49
0;49
0;57
0;64
1;63
0;57
0;50
1;58
0;75
1;68
0;44
0;40
0;41
0;62
0;57
0;43
1;48
0;63
0;39
0;70
0;63
0;59
1;61
0;38
0;61
0;49
1;73
0;44
0;42
0;39
0;55
0;52
0;45
1;61
0;39
0;41
0;50
0;40
0;60
0;47
0;59
0;49
0;46
0;58
1;71
0;58
0;46
0;43
1;54
0;56
0;46
0;54
0;57
0;54
0;71
1;48
0;40
1;64
0;51
0;39
0;40
0;61
1;66
0;49
1;65
0;52
0;46
1;61
1;72
1;71
0;40
1;69
0;64
0;56
0;49
0;54
0;53
0;66
1;67
0;40
0;46
1;69
0;40
0;41
0;57
1;58
1;57
0;37
0;55
1;62
0;64
0;40
0;50
0;46
0;53
0;52
1;45
0;56
0;45
0;54
0;56
0;41
0;54
1;72
1;56
0;47
0;49
1;60
0;54
0;55
0;33
0;49
0;43
0;50
0;52
0;48
0;58
0;43
1;41
0;43
0;46
0;44
0;43
0;61
0;40
0;49
1;56
0;61
0;50
0;51
0;42
1;67
1;53
0;50
1;51
1;72
0;48
0;40
0;53
0;39
1;63
0;51
0;45
0;39
0;42
0;62
0;44
0;65
1;63
0;54
0;45
1;60
1;49
0;48
1;57
1;55
1;66
1;64
0;55
0;42
1;56
0;53
0;41
0;42
0;53
0;42
1;60
0;52
0;38
0;57
1;58
1;65
